,Time,User,Message,Sentiment
0,0.0,7d34eba783117162843a841c4b2a19871acf9ad9,this is scary i'm more nervous and it isn't even my money ,NEGATIVE
1,1.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,tweet it out 0d00cb260bf8f468cf3a7c39e5bbf67494aa0bb5 ,NEUTRAL
2,3.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,20 kills 3 games ,NEUTRAL
3,3.0,2041fa3fa298ec72680129e466ba3f323b7cdcff,7be538c12a69cfb4515e8ab767899fc20d21d50f i like the controller bet ,POSITIVE
4,7.0,2d06e8645ed4ec7317b3fc4a1274c4b4fa22bfd0,lets goooo ,NEUTRAL
5,17.0,72145aa87af694c1127043d080c5ea4338437c0d,send email ,NEUTRAL
6,20.0,72145aa87af694c1127043d080c5ea4338437c0d,$75 ,NEUTRAL
7,21.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,0d00cb260bf8f468cf3a7c39e5bbf67494aa0bb5 i'd be pissing my pants ,NEGATIVE
8,25.0,c4d52900e917164806441e907e29fde4a44ada99,rules ,NEUTRAL
9,27.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,7d34eba783117162843a841c4b2a19871acf9ad9 lol same bro :face_with_tears_of_joy: ,NEUTRAL
10,33.0,336ebc25d72ad0b7addab9972c6a65c72be76de4,profit ,MIXED
11,34.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,#teamfaze or #teamtfue ,NEUTRAL
12,39.0,f58e8388f2fbe13d5df7b68618f8474610501f35,lets go guys ,NEUTRAL
13,40.0,a30ceba3a35952c0503c40a3b12eee65abc59a98,#teamtfue ,NEUTRAL
14,48.0,e76355dbb6662d03f7c96aba73d4327fe01356b3,#teamfaze ,NEUTRAL
15,53.0,1f10eed9531f576b157b0b06262a3c550158d051,cody clutch up last game ,NEUTRAL
16,54.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,#teamwhocares ,NEUTRAL
17,56.0,0ee60520e0eb421bf8a0b28e44df674d9fab7c10,i'll do $25 for 10 games 10 kills 1 handed gameplay ,NEGATIVE
18,56.0,d14a43e06ec90fae03f20e393fcb9759f353dc03,#teamcody ,NEUTRAL
19,59.0,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1,i could see cody joining 100 t ,NEUTRAL
20,60.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,#teamidktbh ,NEUTRAL
21,61.0,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1,that would be sick ,NEGATIVE
22,62.0,ae1cd36f286db51f95d5786d1ec758cda1784d8b,profit ,MIXED
23,64.0,f1206703d8df9a4363e3bc873c23fc98090c5291,#teamdave ,NEUTRAL
24,64.0,1e8c88eca28ea198d0ba0df05df7d1ecd4b400e1,nickmercs left 100t ,NEUTRAL
25,68.0,81ee4ff26208cb3185682653ceb2fb61d1e87d43,i said win this shit cody ,MIXED
26,69.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift ,NEUTRAL
27,71.0,ba63d2e0ec0b0efa8e631a38620fd275ec4dc0be,xposedsubpogchamp ,NEUTRAL
28,71.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift ,NEUTRAL
29,72.0,1d58bc3bacd063535f8e965ba9b00bb66373e1c6,xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift ,NEUTRAL
30,74.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift ,NEUTRAL
31,78.0,35997e836ef25822d4b7e876dfcf48ff641b7b76,xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift xposedsubgift ,NEUTRAL
32,80.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubsubhype xposedsubgift xposedsubgrip ,NEUTRAL
33,83.0,1dc6df4b7f03c7e06cf99f1ff30db54ea19c1af1,lets gettt itt ,NEUTRAL
34,84.0,6d9cdd389464e8fd231b9ddbba99854f75abc122,xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype xposedsubgift xposedsubsubhype ,NEUTRAL
35,85.0,ae262f05d8187697c1e01a3f2ae1f12fff4d96ff,popcorn ready ,NEUTRAL
36,87.0,19a228e537d9e5f182ab7cf85f317eb9c2af1124,lets goo ,POSITIVE
37,90.0,81ee4ff26208cb3185682653ceb2fb61d1e87d43,i said win this shit ,MIXED
38,92.0,7be538c12a69cfb4515e8ab767899fc20d21d50f,who's faze who's tfue sounds like vegan food ,NEGATIVE
39,92.0,0c4cdd54f9f496dfd9b6bbca7b395db163295211,xposedsubhandsshake xposedsubhandsshake xposedsubhandsshake ,NEUTRAL
40,97.0,762386688b22e21e7d585479f9e2a795f46fa451,you got this ,NEUTRAL
41,98.0,e76355dbb6662d03f7c96aba73d4327fe01356b3,maybe if you win this bet ill sub ,NEUTRAL
