,Time,User,Message,Sentiment
0,0.0,d28a52accb3618a555b6a799f07e2b52283a1727,dad ,0.014421544969081879
1,3.0,29221e871f83b4b9a21e1b1b78eb98a703fd2f58,bro when are we getting more catfood ,0.16545546054840088
2,3.0,ec184c398482a55b4ce4c04c830edfb973933922,i miss the beard 094b60c0c0b17383f7fc636ef11efe3cfa52996c ,0.10980217903852463
3,3.0,0ad5cfa2b84f3a15745965ec6349f49a022e6e40,that makes sense ,0.08419962972402573
4,7.0,bf864261d92be9f114135ba5c81384093ec84756,hey daddy ,0.025795433670282364
5,11.0,239c3d039ca907bf80161fbf5e1865db0d58271e,nahh we need some more granny videos ,0.034279342740774155
6,14.0,d2cf9f09351154b3faf0150e096959d7e6a5ca63,speedy i just got a puppy 094b60c0c0b17383f7fc636ef11efe3cfa52996c ,0.016941789537668228
7,17.0,5c368f0e8f0482af643fcead640b21cfc031f45a,u single handedly brought dead by daylight back alive ,0.2781447470188141
8,26.0,29221e871f83b4b9a21e1b1b78eb98a703fd2f58,its pronounced metal ,0.2875281870365143
9,30.0,2be61d91f74267aff4e33f30a77a50b56f8647ff,jt love you kappa lul ,0.0022420817986130714
10,31.0,3c0d34b0ebec13de13df08d7f31ed37f988e82ac,cat goes fucking fishindrdsobsgonch ,0.9330480694770813
11,37.0,56b7a8365e93cb198da03fe8c474f2289ebf8e0b,favorite cereal pops ,0.0006773892673663795
12,38.0,08f461cf9ba82b6180d105f19fce5434edb903c0,wtf is happening rn ,0.7177966833114624
13,38.0,ae5b2939802b597703e3f61e3bae0068a9044fe6,english is great ,0.0002132197405444458
14,40.0,bead5809dd5925f484c91cf207a8186ce08e862e,metal ,0.022626224905252457
15,43.0,52daaf6b939e266b5d4f27c47892cefd9954867b,speddy is a scholar ,0.01510278694331646
16,43.0,b4e60f8428a046df1d08dc6f08e3968053ae6efa,speedy the word smith ,0.16352537274360657
17,46.0,e7d65eae194c9637fcb1bfdea95a5ac4d2dfcb76,5c368f0e8f0482af643fcead640b21cfc031f45a that is far from true ,0.039492491632699966
18,48.0,80415fe9d9864af82b4bb779508174a0f44566c9,hello im new loving the stream ,0.000257590290857479
19,51.0,71e739093b1ef366233e78d48c21b978bb07be72,what the god damn fuck who is this and what did he do with speedy ,0.9235568642616272
20,52.0,706a66372d6f3686ba5cfc7ddd68becc46cfa813,yesss ,0.010396619327366352
21,54.0,83d089112daf17a5235500829b8735c7eff17f41,24 hour lul ,0.00026752607664093375
22,55.0,eda538d5ab88086903358c3a4e7c2f435fd40399,medal metal mettle ,0.0028954618610441685
23,58.0,c3c9ab8634916f3822366f0827523cb2086ae287,mettle ,0.00564975943416357
24,58.0,706a66372d6f3686ba5cfc7ddd68becc46cfa813,challenge streams ,0.003426071722060442
25,58.0,0ad5cfa2b84f3a15745965ec6349f49a022e6e40,i know i'm just clowning you dad ,0.06540048122406006
26,59.0,4f00ca274cbf2f90a617744418a775295c207df6,this is too much for my tired brain to comprehend ,0.9844229817390442
27,59.0,3bf191133dbf617882686165bccf6b5399576fe7,hellloo ,0.030863922089338303
28,60.0,335b1a578f31b8dbebbd5355f252e9abf46f48c9,speddy is englesh teecher ,0.17956121265888214
29,60.0,aa1e4bb4d504ba26eb44b17d3a68c3d8df1983f4,remember when you did the hours cod stream ,0.033235590904951096
30,61.0,29221e871f83b4b9a21e1b1b78eb98a703fd2f58,fuggid ,0.9638932943344116
31,62.0,aa1e4bb4d504ba26eb44b17d3a68c3d8df1983f4,good times ,0.008957495912909508
