,Time,User,Message,Sentiment
0,0.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following reflexiz_aaton ,0.00045062636490911245
1,0.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,diztrict just subscribed with tier 1 ,0.08067063242197037
2,3.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,kiwidoughnut just subscribed with tier 1 ,0.01382136344909668
3,13.0,cb57bcc6ae874c2f67b49d062dc0739afdb363af,kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove ,0.0010352865792810917
4,14.0,cb57bcc6ae874c2f67b49d062dc0739afdb363af,kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove ,0.0010352865792810917
5,14.0,cb57bcc6ae874c2f67b49d062dc0739afdb363af,kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove ,0.0010352865792810917
6,21.0,e942701f15ac5f5a6ab622fa8e136478f512b1f5,poffgift poffgift poffgift poffgift poffgift ,0.09949854016304016
7,22.0,f54d323c4be2d0593a5299c8b62ab62b53fc85b7,kleriflove kleriflove kleriflove kleriflove ,0.005174159072339535
8,26.0,0273aa5012b7b583280f61da05e8087ecf1e305b,kleriflove kleriflove kleriflove kleriflove kleriflove ,0.002601463347673416
9,27.0,e942701f15ac5f5a6ab622fa8e136478f512b1f5,poffchoochoo poffchoochoo poffchoochoo poffchoochoo poffchoochoo ,0.0053749093785882
10,28.0,5380f69432b938559350f16f0dbceacc6eacabca,kleriflove kleriflove kleriflove kleriflove kleriflove ,0.002601463347673416
11,37.0,1022490daf1370140619f5f77cf994ed490f6b7c,kleriflove kleriflove kleriflove ,0.003451391588896513
12,39.0,5380f69432b938559350f16f0dbceacc6eacabca,gamble 50% ,0.018432991579174995
13,41.0,d3bdb9d449c50b23d8d706f7f23f9be8ef4bc1a1,poffgift poffgift poffgift ,0.11897769570350647
14,44.0,8268a769231a2d441bc34eb626ce4f74e58cb849,klerbear also wears socks with flip flops ,0.4318189024925232
15,47.0,8268a769231a2d441bc34eb626ce4f74e58cb849,little known fact ,0.37437453866004944
16,57.0,448c0c80cba425f322406d3bbf099628eb06687b,don't drop firing range royalize is in ur lobby ,0.31326207518577576
17,60.0,d3bdb9d449c50b23d8d706f7f23f9be8ef4bc1a1,cod mw is coming ,0.05052511394023895
18,62.0,5c5778a460000ee0094cc8697d91983e86cb7ada,gucki flip flops ,0.8854513764381409
19,66.0,74e2984eaa14b54f61ac92eb535ed20413aafcbf,hey doctor luongfdocstar luongfdocstar ,0.007990884594619274
20,66.0,a20d6b5a79b29d64a960869c199957da76e66884,klerbear eats his oreos with mayo ,0.01824991963803768
21,69.0,6ef0cd0016d45de2eada3b78456e6cc3a6c6a69d,they don't make flip flops in canada ,0.6038880944252014
22,71.0,74e2984eaa14b54f61ac92eb535ed20413aafcbf,hey cj ,0.01575147546827793
23,72.0,a20d6b5a79b29d64a960869c199957da76e66884,like mcchicken sauce ,0.519761323928833
24,74.0,a20d6b5a79b29d64a960869c199957da76e66884,hi nathan ,0.011020228266716003
25,86.0,8268a769231a2d441bc34eb626ce4f74e58cb849,hey 74e2984eaa14b54f61ac92eb535ed20413aafcbf ,0.003592557506635785
26,87.0,8268a769231a2d441bc34eb626ce4f74e58cb849,<3 ,0.008266843855381012
27,91.0,2e3b0713adfd50735ffd8ca10a0ced2801fa9d2c,oh shit he's goated ,0.803858757019043
28,91.0,a1db8d572e5e06c8c7a5f72cea57659e62de0393,6ef0cd0016d45de2eada3b78456e6cc3a6c6a69d ya they do ,0.002996079158037901
29,93.0,8268a769231a2d441bc34eb626ce4f74e58cb849,cj twin ,0.0035104898270219564
30,99.0,799c6f9904dac11f7e69559450b59bf650b73d72,kler bear kleriflove kleriflove kleriflove kleriflove kleriflove ,0.0012892376398667693
31,100.0,74e2984eaa14b54f61ac92eb535ed20413aafcbf,cjfnorucute cjfnorucute cjfnorucute cjfnorucute ,0.0008386561530642211
32,102.0,a20d6b5a79b29d64a960869c199957da76e66884,hi twin ,0.005940576083958149
33,107.0,6ef0cd0016d45de2eada3b78456e6cc3a6c6a69d,a1db8d572e5e06c8c7a5f72cea57659e62de0393 cmonbruh ,0.002768760547041893
34,144.0,a1db8d572e5e06c8c7a5f72cea57659e62de0393,6ef0cd0016d45de2eada3b78456e6cc3a6c6a69d here in bc motherfuckers be runnin around with flip flops on the rain ,0.7153856754302979
35,152.0,a1db8d572e5e06c8c7a5f72cea57659e62de0393,in* ,0.02155824564397335
36,164.0,6ef0cd0016d45de2eada3b78456e6cc3a6c6a69d,a1db8d572e5e06c8c7a5f72cea57659e62de0393 lul ,0.0008189989603124559
37,190.0,8268a769231a2d441bc34eb626ce4f74e58cb849,i love taytay ,0.0014613029779866338
38,203.0,8268a769231a2d441bc34eb626ce4f74e58cb849,klerbear frontin ,0.030526654794812202
39,211.0,8268a769231a2d441bc34eb626ce4f74e58cb849,he sent me pics of his toes in flip flops ,0.122635617852211
40,221.0,8268a769231a2d441bc34eb626ce4f74e58cb849,well his sock toes you know the fitted kind ,0.08217737078666687
41,287.0,cd5e6823f44ef578357fa5c52d7de445ac5bb3ec,so many lurkers lol ,0.11191799491643906
42,288.0,0273aa5012b7b583280f61da05e8087ecf1e305b,doc__star the fitted web shoes lmaooo ,0.019766097888350487
43,338.0,448c0c80cba425f322406d3bbf099628eb06687b,this guy has is shit in delay - he ain't no goat ,0.8511661291122437
44,338.0,8268a769231a2d441bc34eb626ce4f74e58cb849,yeah ,0.02279297262430191
45,341.0,8268a769231a2d441bc34eb626ce4f74e58cb849,except socks ,0.699342668056488
46,349.0,8268a769231a2d441bc34eb626ce4f74e58cb849,and flip flops 0273aa5012b7b583280f61da05e8087ecf1e305b ,0.025762297213077545
47,349.0,0273aa5012b7b583280f61da05e8087ecf1e305b,lmaoo ,0.009273302741348743
48,350.0,8268a769231a2d441bc34eb626ce4f74e58cb849,weird right ,0.48921746015548706
49,369.0,209398129bed02725d37005297f8baa447f6910f,sounds like she needs a new hobby besides waiting on klerify :) ,0.05736732855439186
50,391.0,327adea054cfdac3c3596bf49baecb4efadb72cd,lol ^ ,0.04672575369477272
51,401.0,8268a769231a2d441bc34eb626ce4f74e58cb849,look everyone it's cuba steve ,0.04798567667603493
52,410.0,8268a769231a2d441bc34eb626ce4f74e58cb849,hi cuba steve ,0.015820421278476715
53,415.0,8268a769231a2d441bc34eb626ce4f74e58cb849,good motto for life ,0.0006435029790736735
54,421.0,8268a769231a2d441bc34eb626ce4f74e58cb849,don't be a dick ,0.6307764649391174
55,423.0,cd5e6823f44ef578357fa5c52d7de445ac5bb3ec,are you talking to a guy or a firl ,0.04743729531764984
56,426.0,cd5e6823f44ef578357fa5c52d7de445ac5bb3ec,girl ,0.028142936527729034
57,436.0,1022490daf1370140619f5f77cf994ed490f6b7c,girl loo ,0.01930648647248745
58,439.0,1022490daf1370140619f5f77cf994ed490f6b7c,lol ,0.014838529750704765
59,446.0,cd5e6823f44ef578357fa5c52d7de445ac5bb3ec,mb ,0.146769717335701
60,460.0,327adea054cfdac3c3596bf49baecb4efadb72cd,hi doc ,0.009940844029188156
61,463.0,327adea054cfdac3c3596bf49baecb4efadb72cd,how are you ,0.10608880966901779
62,464.0,8268a769231a2d441bc34eb626ce4f74e58cb849,that's taytay ,0.1291872262954712
63,466.0,8268a769231a2d441bc34eb626ce4f74e58cb849,she a girl ,0.019968992099165916
64,472.0,8268a769231a2d441bc34eb626ce4f74e58cb849,so elegantay ,0.0002170323277823627
65,494.0,8268a769231a2d441bc34eb626ce4f74e58cb849,good cuba ,0.02226494438946247
66,500.0,8268a769231a2d441bc34eb626ce4f74e58cb849,took a nap waiting on klerify ,0.10990972071886063
67,505.0,8268a769231a2d441bc34eb626ce4f74e58cb849,woke up to all this ,0.3529716730117798
68,509.0,99f5ee80e1ec881bc7a093d807fec3bfd7eb713a,uptime ,0.022627411410212517
69,540.0,8268a769231a2d441bc34eb626ce4f74e58cb849,klerify basically was like yeah we'll play on the one night this month you can play ,0.059456389397382736
70,545.0,8268a769231a2d441bc34eb626ce4f74e58cb849,then ditched me for formal ,0.472511351108551
71,547.0,8268a769231a2d441bc34eb626ce4f74e58cb849,feelsbatman ,0.12893155217170715
72,552.0,8268a769231a2d441bc34eb626ce4f74e58cb849,i understand tho ,0.01858510449528694
73,554.0,327adea054cfdac3c3596bf49baecb4efadb72cd,nothing new man ,0.9791901111602783
74,556.0,327adea054cfdac3c3596bf49baecb4efadb72cd,lol ,0.014838529750704765
75,559.0,209398129bed02725d37005297f8baa447f6910f,a lot of people get ditched for formal ,0.07501764595508575
76,564.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following weace_ ,0.005705919582396746
77,613.0,209398129bed02725d37005297f8baa447f6910f,klerify have you ever played a tourney with formal ,0.06375876069068909
78,622.0,8268a769231a2d441bc34eb626ce4f74e58cb849,#bigfacts 209398129bed02725d37005297f8baa447f6910f ,0.003952003084123135
79,726.0,327adea054cfdac3c3596bf49baecb4efadb72cd,called a drive in ,0.1586041897535324
80,727.0,327adea054cfdac3c3596bf49baecb4efadb72cd,lol ,0.014838529750704765
81,786.0,8268a769231a2d441bc34eb626ce4f74e58cb849,cuba steve no one wants to know your communist names ,0.1926453709602356
82,816.0,8268a769231a2d441bc34eb626ce4f74e58cb849,^^ toxic doc ,0.4878556728363037
83,823.0,327adea054cfdac3c3596bf49baecb4efadb72cd,unfortunate that's why i don't talk anymore ,0.9137305021286011
84,828.0,f5d4b9ef4e4adbf50d811d8243c980369267774e,yooooooo fuckers ,0.9912614822387695
85,829.0,327adea054cfdac3c3596bf49baecb4efadb72cd,it's the new generation ,0.007181866560131311
86,836.0,327adea054cfdac3c3596bf49baecb4efadb72cd,you wouldn't know ,0.10334078222513199
87,844.0,327adea054cfdac3c3596bf49baecb4efadb72cd,^toxic ,0.9847450852394104
88,850.0,8268a769231a2d441bc34eb626ce4f74e58cb849,hahahah ,0.018359193578362465
89,858.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following spindoctorsally ,0.003347479971125722
90,867.0,1022490daf1370140619f5f77cf994ed490f6b7c,f5d4b9ef4e4adbf50d811d8243c980369267774e yoooooo ,0.008437125012278557
91,872.0,fb7973bac070fcd8f50d0cdcbcc5ff7a43cbba64,lol ,0.014838529750704765
92,893.0,f5d4b9ef4e4adbf50d811d8243c980369267774e,y'all playing with randoms ,0.5602713823318481
93,901.0,327adea054cfdac3c3596bf49baecb4efadb72cd,no worries ,0.01245346013456583
94,901.0,f5d4b9ef4e4adbf50d811d8243c980369267774e,1022490daf1370140619f5f77cf994ed490f6b7c hey sexiness ,0.0053298212587833405
95,904.0,327adea054cfdac3c3596bf49baecb4efadb72cd,just letting you know ,0.017705002799630165
96,917.0,8268a769231a2d441bc34eb626ce4f74e58cb849,for the new people that don't know ,0.1707582026720047
97,923.0,8268a769231a2d441bc34eb626ce4f74e58cb849,klerify likes mayo on oreos ,0.06383569538593292
98,924.0,327adea054cfdac3c3596bf49baecb4efadb72cd,nah im good chief ,0.02122691087424755
99,925.0,8268a769231a2d441bc34eb626ce4f74e58cb849,just fyi ,0.1331053525209427
100,932.0,8268a769231a2d441bc34eb626ce4f74e58cb849,everyone spread the word ,0.05372362211346626
101,933.0,1022490daf1370140619f5f77cf994ed490f6b7c,f5d4b9ef4e4adbf50d811d8243c980369267774e heard you like to play with randoms at the nearest truck stop ,0.028443504124879837
102,946.0,f5d4b9ef4e4adbf50d811d8243c980369267774e,tay tay i love u ,0.00019284122390672565
103,950.0,327adea054cfdac3c3596bf49baecb4efadb72cd,you ask once a month ,0.15063026547431946
104,951.0,81697f70eea5a2a6dd3a7a1c5e76d40cf0296b88,let's run it ,0.062495987862348557
105,957.0,327adea054cfdac3c3596bf49baecb4efadb72cd,sooo ,0.022753950208425522
106,965.0,f5d4b9ef4e4adbf50d811d8243c980369267774e,1022490daf1370140619f5f77cf994ed490f6b7c if the price is right ,0.006560561712831259
107,967.0,7a7e28c1dd903b48040ebe5af9a4c7dda1b00400,ads suck ,0.9977929592132568
108,977.0,327adea054cfdac3c3596bf49baecb4efadb72cd,no worries ,0.01245346013456583
109,980.0,327adea054cfdac3c3596bf49baecb4efadb72cd,ill wait ,0.07633322477340698
110,982.0,327adea054cfdac3c3596bf49baecb4efadb72cd,lol ,0.014838529750704765
111,984.0,8268a769231a2d441bc34eb626ce4f74e58cb849,its gonna be funny when klerbear texts in like 3 weeks and is like when can we play ,0.07219459116458893
112,991.0,8268a769231a2d441bc34eb626ce4f74e58cb849,lul lul lul ,0.00371940596960485
113,998.0,1022490daf1370140619f5f77cf994ed490f6b7c,f5d4b9ef4e4adbf50d811d8243c980369267774e cheapest on the lot is what i heard ,0.22385701537132263
114,1012.0,f5d4b9ef4e4adbf50d811d8243c980369267774e,i'm gonna be on finally tomorrow night cb57bcc6ae874c2f67b49d062dc0739afdb363af maybe we can play ,0.003285266226157546
115,1013.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following oxsavagebabee ,0.0035760989412665367
116,1015.0,91f9f48b6cdee4a0e9b80041bea34686c9d7f2f0,wudddup my dude ,0.9055887460708618
117,1025.0,f5d4b9ef4e4adbf50d811d8243c980369267774e,1022490daf1370140619f5f77cf994ed490f6b7c damn that hurts ,0.3750745952129364
118,1039.0,1022490daf1370140619f5f77cf994ed490f6b7c,f5d4b9ef4e4adbf50d811d8243c980369267774e nothing personal ,0.4455565810203552
119,1064.0,c3f9bd4c4fbfa2095a01f3af2ffe57465f510ddf,8268a769231a2d441bc34eb626ce4f74e58cb849 thanks for the gifted 2hrs ago homie ,0.003145915223285556
120,1066.0,327adea054cfdac3c3596bf49baecb4efadb72cd,very ,0.08064085990190506
121,1071.0,8268a769231a2d441bc34eb626ce4f74e58cb849,wow ,0.049255210906267166
122,1076.0,8268a769231a2d441bc34eb626ce4f74e58cb849,i wanna know what's up ,0.037402305752038956
123,1080.0,f5d4b9ef4e4adbf50d811d8243c980369267774e,1022490daf1370140619f5f77cf994ed490f6b7c can't believe the words out about the sale but u gotta have a coupon ,0.31689438223838806
124,1083.0,8268a769231a2d441bc34eb626ce4f74e58cb849,these people sharin secrets ,0.32773712277412415
125,1092.0,8268a769231a2d441bc34eb626ce4f74e58cb849,you're welcome c3f9bd4c4fbfa2095a01f3af2ffe57465f510ddf ,0.003572146175429225
126,1097.0,f5d4b9ef4e4adbf50d811d8243c980369267774e,well damnnnnn ,0.36088448762893677
127,1106.0,8268a769231a2d441bc34eb626ce4f74e58cb849,truedgriff ,0.04333085939288139
128,1108.0,8268a769231a2d441bc34eb626ce4f74e58cb849,love that dude ,0.0022900598123669624
129,1124.0,8268a769231a2d441bc34eb626ce4f74e58cb849,he made these emotes ,0.12996986508369446
130,1131.0,f5d4b9ef4e4adbf50d811d8243c980369267774e,thought i was part of the crock squad feelings hurt cb57bcc6ae874c2f67b49d062dc0739afdb363af ,0.2835824489593506
131,1136.0,8268a769231a2d441bc34eb626ce4f74e58cb849,truedgdocstar truedgdocstar truedgdocstar truedgdocstar truedgdocstar truedgdocstar truedgdocstar truedgdocstar truedgdocstar truedgdocstar ,0.0018831852357834578
132,1151.0,a20d6b5a79b29d64a960869c199957da76e66884,cjfnorucute cjfnorucute cjfnorucute cjfnorucute cjfnorucute cjfnorucute cjfnorucute cjfnorucute cjfnorucute ,0.0002628158836159855
133,1178.0,8268a769231a2d441bc34eb626ce4f74e58cb849,next follower gets a sub ,0.01097069401293993
134,1190.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following mystic_ps ,0.00031121401116251945
135,1198.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following pizani15 ,0.0007494972087442875
136,1203.0,d5a5abf314484a595b031c5efeddd5aaf0d928a6,sens ,0.020953720435500145
137,1203.0,667fa6160392f1cbcb68df32729b52e18edde9c7,is that gen3 or 4 astro ,0.037658486515283585
138,1214.0,81697f70eea5a2a6dd3a7a1c5e76d40cf0296b88,i call bs ,0.48325884342193604
139,1223.0,f5d4b9ef4e4adbf50d811d8243c980369267774e,controller ,0.008431971073150635
140,1227.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,king_produkt just hosted the stream for 1 viewers ,0.034191031008958817
141,1243.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following bosnian_ak47 ,0.0005094375228509307
142,1246.0,6399c89775c5cafdf05cce4bc238239d8764624e,whas goood ,0.02080734260380268
143,1255.0,81697f70eea5a2a6dd3a7a1c5e76d40cf0296b88,#unfortunate ,0.5148726105690002
144,1263.0,a625759f2fefe2d5634e2abc133e0562cd92d9fb,formalv20subhype mrkhype formalv20subhype mrkhype ,0.0024709724821150303
145,1265.0,81697f70eea5a2a6dd3a7a1c5e76d40cf0296b88,#goduramazing ,0.006480618380010128
146,1269.0,81697f70eea5a2a6dd3a7a1c5e76d40cf0296b88,ralliedgas ralliedgas ralliedgas ralliedgas ,0.00015676039038226008
147,1270.0,cb57bcc6ae874c2f67b49d062dc0739afdb363af,kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove ,0.0010352865792810917
148,1271.0,cb57bcc6ae874c2f67b49d062dc0739afdb363af,kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove ,0.0010352865792810917
149,1272.0,cb57bcc6ae874c2f67b49d062dc0739afdb363af,kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove ,0.0010352865792810917
150,1275.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following kingsamurai86 ,0.0002477312518749386
151,1289.0,81697f70eea5a2a6dd3a7a1c5e76d40cf0296b88,kleriflove kleriflove kleriflove ,0.003451391588896513
152,1293.0,81697f70eea5a2a6dd3a7a1c5e76d40cf0296b88,that's luv ,0.007495204918086529
153,1320.0,a625759f2fefe2d5634e2abc133e0562cd92d9fb,formalv20subhype mrkhype mrkhype ,0.007969972677528858
154,1322.0,91f9f48b6cdee4a0e9b80041bea34686c9d7f2f0,doc loveee bro ,0.00013252266217023134
155,1360.0,667fa6160392f1cbcb68df32729b52e18edde9c7,thats ,0.04173538088798523
156,1360.0,cb57bcc6ae874c2f67b49d062dc0739afdb363af,kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove ,0.0010352865792810917
157,1361.0,cb57bcc6ae874c2f67b49d062dc0739afdb363af,kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove kleriflove ,0.0010352865792810917
